Year,Month,Day,Hour,Minute,DB,DP,RelHum,Pressure,extHor,extDNI,LW,GHI,DNI,DHI,glbeIll,drctIll,diffIll,zenIll,winddir,windspeed,TCC,opaque_cover,visibility,cbh,weather_obs,weather_code,precipitable_H2O,optical_depth,snow_depth,days_since_snow,albedo,precip_depth,precip_quantity
2021,1,2,13,0,10.68,1.87,54,102029,9999,9999,262,607,879,94,64216,89584,12734,3128,313,4.67,0,0,9999,5087,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,14,0,11.71,2.22,52,101925,9999,9999,267,636,891,95,67304,90790,12918,2994,315,4.56,0,0,9999,5406,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,15,0,12.67,2.61,50,101837,9999,9999,269,598,878,93,63354,89599,12587,3171,318,4.08,0,0,9999,5724,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,16,0,13.69,2.39,46,101801,9999,9999,271,497,834,85,52757,85253,11404,3592,315,3.63,0,0,9999,6043,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,17,0,13.04,1.74,46,101798,9999,9999,272,342,741,73,36411,75824,9718,4283,316,2.52,0,0,9999,6361,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,18,0,12.78,1.13,45,101814,9999,9999,271,156,552,49,16781,56556,6591,4470,304,1.68,0,0,9999,6680,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,19,0,10.29,1.23,53,101811,9999,9999,266,14,0,8,2165,0,1236,302,257,1.16,0,0,9999,6998,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,20,0,9.66,0.31,52,101841,9999,9999,264,0,0,0,0,0,0,0,192,1.14,0,0,9999,7317,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,21,0,7.58,1.3,64,101862,9999,9999,262,0,0,0,0,0,0,0,185,2.09,0,0,9999,7635,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,22,0,5.63,2.3,79,101872,9999,9999,261,0,0,0,0,0,0,0,189,2.11,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,23,0,5.34,2.08,80,101917,9999,9999,260,0,0,0,0,0,0,0,190,2.43,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,24,0,5.39,2.3,80,101886,9999,9999,259,0,0,0,0,0,0,0,191,2.63,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,1,0,5.27,2.2,81,101886,9999,9999,258,0,0,0,0,0,0,0,194,2.68,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,2,0,4.69,1.98,83,101864,9999,9999,257,0,0,0,0,0,0,0,200,2.63,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,3,0,4.52,1.96,83,101869,9999,9999,256,0,0,0,0,0,0,0,203,2.53,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,4,0,4.09,1.87,85,101830,9999,9999,255,0,0,0,0,0,0,0,204,2.44,1,1,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,5,0,2.34,0.57,88,101807,9999,9999,255,0,0,0,0,0,0,0,203,2.87,2,2,9999,10183,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,6,0,2.44,0.87,89,101779,9999,9999,255,0,0,0,0,0,0,0,204,2.86,5,5,9999,9700,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,7,0,2.65,1.38,91,101783,9999,9999,258,0,0,0,0,0,0,0,203,2.76,7,7,9999,9477,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,8,0,3.31,2.25,93,101797,9999,9999,265,0,0,0,0,0,0,0,202,3.0,7,7,9999,9327,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,9,0,4.31,2.5,88,101866,9999,9999,261,23,0,13,3454,0,1951,521,203,3.3,5,5,9999,9177,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,10,0,9.69,5.37,74,101871,9999,9999,264,177,519,63,19036,53463,8372,5235,200,3.32,2,2,9999,9171,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,11,0,14.2,7.66,65,101918,9999,9999,269,360,709,88,38552,73192,11636,4704,199,3.29,2,2,9999,8866,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,12,0,16.75,6.34,50,101857,9999,9999,275,513,826,94,54696,84907,12585,3700,200,3.97,0,0,9999,8561,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,13,0,18.17,5.7,44,101776,9999,9999,282,612,890,92,65226,91260,12493,3083,204,4.27,0,0,9999,8257,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,14,0,18.67,5.89,43,101622,9999,9999,289,640,898,94,68199,92043,12806,2969,203,4.18,0,0,9999,7952,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,15,0,19.43,6.36,42,101513,9999,9999,292,600,880,91,64054,90369,12349,3119,198,4.07,0,0,9999,7647,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,16,0,20.05,6.59,42,101485,9999,9999,295,496,832,84,53084,85642,11294,3547,193,4.14,0,0,9999,7342,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,17,0,18.52,8.09,51,101466,9999,9999,297,340,735,72,36659,76034,9613,4213,189,3.45,0,0,9999,7038,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,18,0,17.27,7.61,53,101462,9999,9999,297,156,543,49,16981,56226,6604,4445,175,3.03,0,0,9999,6733,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,19,0,15.44,6.79,56,101460,9999,9999,293,15,0,8,2316,0,1234,302,170,3.85,0,0,9999,6428,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,20,0,13.81,6.15,60,101489,9999,9999,289,0,0,0,0,0,0,0,174,4.59,0,0,9999,6123,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,21,0,13.15,6.56,64,101520,9999,9999,286,0,0,0,0,0,0,0,180,4.47,0,0,9999,5818,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,22,0,11.18,7.47,78,101506,9999,9999,284,0,0,0,0,0,0,0,182,4.07,0,0,9999,5514,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,23,0,10.69,7.57,81,101514,9999,9999,282,0,0,0,0,0,0,0,185,3.6,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,3,24,0,10.26,7.85,85,101487,9999,9999,282,0,0,0,0,0,0,0,186,3.59,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,1,0,10.18,8.05,87,101468,9999,9999,283,0,0,0,0,0,0,0,191,3.32,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,2,0,9.95,8.15,89,101463,9999,9999,286,0,0,0,0,0,0,0,197,2.94,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,3,0,9.66,8.21,91,101466,9999,9999,287,0,0,0,0,0,0,0,203,2.63,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,4,0,9.02,7.88,93,101438,9999,9999,289,0,0,0,0,0,0,0,208,2.53,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,5,0,7.48,6.94,96,101420,9999,9999,290,0,0,0,0,0,0,0,212,2.74,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,6,0,7.41,6.93,97,101407,9999,9999,291,0,0,0,0,0,0,0,212,2.71,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,7,0,7.67,7.28,97,101435,9999,9999,291,0,0,0,0,0,0,0,216,2.49,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,8,0,7.7,7.35,98,101504,9999,9999,291,0,0,0,0,0,0,0,219,2.37,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,9,0,8.69,8.33,98,101568,9999,9999,290,24,0,12,3614,0,1806,480,227,2.65,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,10,0,13.45,11.38,87,101664,9999,9999,294,176,558,53,19312,58291,7132,4473,234,2.92,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,11,0,16.97,13.55,80,101685,9999,9999,301,355,728,75,38876,76402,10040,4136,235,3.15,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,12,0,20.06,13.71,67,101638,9999,9999,309,501,813,87,54692,85200,11740,3506,235,3.63,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,13,0,21.66,14.68,65,101551,9999,9999,318,593,853,93,64878,89531,12673,3097,240,3.53,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,14,0,22.35,14.77,62,101444,9999,9999,326,618,851,99,67522,89257,13503,3043,243,3.29,0,0,9999,637,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,15,0,23.15,13.96,56,101415,9999,9999,334,572,815,100,62269,85299,13544,3281,247,2.8,1,1,9999,860,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,16,0,24.01,12.56,49,101420,9999,9999,335,480,783,91,52110,81748,12212,3737,253,2.24,0,0,9999,972,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,17,0,22.69,12.96,54,101456,9999,9999,333,330,694,75,36057,72704,10014,4336,264,1.37,0,0,9999,969,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,18,0,22.74,12.38,52,101493,9999,9999,329,154,527,49,16990,55229,6618,4419,306,0.67,0,0,9999,966,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,19,0,20.7,10.08,51,101538,9999,9999,322,15,0,8,2312,0,1232,302,33,0.66,0,0,9999,963,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,20,0,17.72,9.42,57,101580,9999,9999,321,0,0,0,0,0,0,0,61,1.32,0,0,9999,959,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,21,0,15.91,9.79,67,101616,9999,9999,315,0,0,0,0,0,0,0,72,1.78,0,0,9999,956,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,22,0,13.95,10.63,80,101611,9999,9999,312,0,0,0,0,0,0,0,78,1.71,0,0,9999,953,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,23,0,13.7,10.7,82,101666,9999,9999,311,0,0,0,0,0,0,0,73,1.49,0,0,9999,950,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,4,24,0,12.9,10.9,88,101692,9999,9999,309,0,0,0,0,0,0,0,44,1.43,0,0,9999,947,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,1,0,11.77,10.2,90,101706,9999,9999,308,0,0,0,0,0,0,0,26,1.83,0,0,9999,944,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,2,0,11.58,9.95,90,101699,9999,9999,299,0,0,0,0,0,0,0,21,2.04,0,0,9999,940,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,3,0,11.09,9.43,89,101713,9999,9999,296,0,0,0,0,0,0,0,22,1.84,0,0,9999,937,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,4,0,10.47,8.41,87,101714,9999,9999,295,0,0,0,0,0,0,0,27,1.95,0,0,9999,934,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,5,0,9.29,7.55,89,101672,9999,9999,295,0,0,0,0,0,0,0,39,2.38,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,6,0,9.23,7.1,87,101707,9999,9999,296,0,0,0,0,0,0,0,47,2.37,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,7,0,9.44,6.79,83,101728,9999,9999,293,0,0,0,0,0,0,0,57,2.45,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,8,0,9.32,6.08,80,101835,9999,9999,292,0,0,0,0,0,0,0,63,2.52,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,9,0,9.84,5.65,75,101906,9999,9999,290,23,0,11,3485,0,1666,440,69,2.85,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,10,0,13.85,6.51,61,101932,9999,9999,288,174,545,54,18842,56289,7244,4552,80,3.1,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,11,0,15.84,6.58,54,101932,9999,9999,291,355,734,73,38132,75681,9758,4043,89,3.34,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,12,0,17.79,5.56,45,101894,9999,9999,302,488,770,96,51913,79025,12836,3743,98,3.42,0,0,9999,77777,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,13,0,19.05,6.31,43,101774,9999,9999,312,541,714,122,59467,73413,16166,4407,108,3.56,0,0,9999,906,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,14,0,19.82,6.9,43,101639,9999,9999,315,595,802,105,63336,82287,14224,3121,118,3.77,1,1,9999,1008,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,15,0,20.23,7.72,44,101570,9999,9999,317,565,788,107,60217,81041,14398,3386,125,3.95,1,1,9999,994,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,16,0,20.9,8.36,44,101562,9999,9999,321,465,748,92,49840,77232,12319,3747,129,4.04,1,1,9999,945,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,17,0,19.37,9.63,53,101534,9999,9999,319,325,661,80,35075,68585,10626,4549,135,3.83,1,1,9999,907,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,18,0,18.16,8.98,55,101517,9999,9999,319,145,469,50,15828,48706,6735,4477,133,3.48,2,2,9999,909,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,19,0,16.15,8.08,59,101533,9999,9999,330,15,0,8,2315,0,1233,304,130,3.44,4,4,9999,889,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,20,0,14.86,7.73,62,101517,9999,9999,323,0,0,0,0,0,0,0,128,3.64,8,8,9999,899,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,21,0,14.32,8.7,69,101558,9999,9999,321,0,0,0,0,0,0,0,125,3.62,9,9,9999,960,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,22,0,13.71,10.08,79,101499,9999,9999,324,0,0,0,0,0,0,0,124,3.9,9,9,9999,980,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,23,0,13.91,10.52,80,101482,9999,9999,335,0,0,0,0,0,0,0,126,3.68,9,9,9999,1052,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,5,24,0,13.72,11.24,85,101458,9999,9999,323,0,0,0,0,0,0,0,125,3.5,10,10,9999,1147,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,6,1,0,13.44,11.4,87,101439,9999,9999,323,0,0,0,0,0,0,0,124,3.5,10,10,9999,1204,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,6,2,0,13.53,11.62,88,101402,9999,9999,375,0,0,0,0,0,0,0,122,3.31,9,9,9999,1310,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,6,3,0,13.78,12.11,90,101353,9999,9999,365,0,0,0,0,0,0,0,120,3.21,10,10,9999,1263,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,6,4,0,13.9,12.64,92,101346,9999,9999,361,0,0,0,0,0,0,0,122,3.38,10,10,9999,800,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,6,5,0,14.35,13.4,94,101276,9999,9999,356,0,0,0,0,0,0,0,120,2.51,10,10,9999,728,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,6,6,0,14.44,13.62,95,101251,9999,9999,350,0,0,0,0,0,0,0,123,3.09,10,10,9999,668,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,6,7,0,14.84,14.15,96,101259,9999,9999,346,0,0,0,0,0,0,0,128,3.49,10,10,9999,622,9,999999999,0.02,999,0.0,99,0.15,0.01,1
2021,1,6,8,0,14.9,14.23,96,101306,9999,9999,354,0,0,0,0,0,0,0,131,3.87,10,10,9999,583,9,999999999,0.01,999,0.0,99,0.15,0.05,1
2021,1,6,9,0,15.63,14.69,94,101351,9999,9999,359,13,0,11,1960,0,1658,440,140,4.01,9,9,9999,585,9,999999999,0.02,999,0.0,99,0.15,0.13,1
2021,1,6,10,0,17.58,15.29,86,101365,9999,9999,363,99,106,76,12675,9905,12550,7016,149,4.06,9,9,9999,547,9,999999999,0.0,999,0.0,99,0.15,0.26,1
2021,1,6,11,0,18.46,15.8,84,101350,9999,9999,362,164,73,135,19812,6609,18746,7006,153,4.17,9,9,9999,548,9,999999999,0.01,999,0.0,99,0.15,0.09,1
2021,1,6,12,0,19.73,15.69,77,101270,9999,9999,367,241,95,192,28283,8758,24135,7967,160,4.89,9,9,9999,463,9,999999999,0.0,999,0.0,99,0.15,0.12,1
2021,1,6,13,0,21.13,15.21,69,101122,9999,9999,358,410,313,226,46282,28869,31299,8288,169,5.9,7,7,9999,635,9,999999999,0.01,999,0.0,99,0.15,0.15,1
2021,1,6,14,0,21.73,15.74,69,100954,9999,9999,368,396,357,177,45664,32796,25660,6065,170,7.11,7,7,9999,661,9,999999999,0.01,999,0.0,99,0.15,0.05,1
2021,1,6,15,0,21.67,16.51,72,100829,9999,9999,366,393,340,195,45164,30963,28092,7201,173,7.6,10,10,9999,773,9,999999999,0.01,999,0.0,99,0.15,0.1,1
2021,1,6,16,0,22.45,16.79,70,100792,9999,9999,378,172,50,147,20555,4554,18958,6221,171,6.41,9,9,9999,862,9,999999999,0.01,999,0.0,99,0.15,0.04,1
2021,1,6,17,0,20.45,15.99,76,100640,9999,9999,367,119,89,86,14995,8241,14033,5338,177,6.93,8,8,9999,1607,9,999999999,0.03,999,0.0,99,0.15,1.04,1
2021,1,6,18,0,18.16,15.2,83,100738,9999,9999,377,43,18,39,5580,1695,5452,2972,209,6.05,9,9,9999,990,9,999999999,0.16,999,0.0,99,0.15,3.81,1
2021,1,6,19,0,15.8,13.62,87,100886,9999,9999,377,4,0,4,640,0,639,153,282,6.25,9,9,9999,695,9,999999999,0.75,999,0.0,99,0.15,7.25,1
2021,1,6,20,0,13.93,10.96,82,101070,9999,9999,374,0,0,0,0,0,0,0,321,6.38,6,6,9999,1877,9,999999999,0.07,999,0.0,99,0.15,4.46,1
2021,1,6,21,0,12.83,9.21,79,101120,9999,9999,329,0,0,0,0,0,0,0,315,5.21,1,1,9999,1774,9,999999999,0.0,999,0.0,99,0.15,0.11,1
2021,1,6,22,0,11.03,6.96,76,101173,9999,9999,289,0,0,0,0,0,0,0,307,5.55,0,0,9999,1671,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,6,23,0,10.97,6.35,73,101182,9999,9999,274,0,0,0,0,0,0,0,298,5.44,0,0,9999,1568,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,6,24,0,10.39,4.72,68,101205,9999,9999,272,0,0,0,0,0,0,0,292,5.73,0,0,9999,1466,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,7,1,0,10.75,3.87,62,101207,9999,9999,272,0,0,0,0,0,0,0,293,5.96,0,0,9999,1363,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,7,2,0,10.72,2.93,59,101160,9999,9999,276,0,0,0,0,0,0,0,294,5.76,0,0,9999,1260,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,7,3,0,10.43,2.34,56,101148,9999,9999,270,0,0,0,0,0,0,0,294,5.77,0,0,9999,1158,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,7,4,0,10.16,0.5,51,101192,9999,9999,268,0,0,0,0,0,0,0,295,5.92,0,0,9999,1055,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,7,5,0,8.85,1.92,62,101213,9999,9999,269,0,0,0,0,0,0,0,303,6.64,0,0,9999,952,9,999999999,0.0,999,0.0,99,0.15,0.0,1
